top - 17:32:40 up  2:14,  2 users,  load average: 0.00, 0.00, 0.00
Tasks: 104 total,   1 running, 103 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3827.6 total,   3208.5 free,    199.4 used,    419.7 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   3414.7 avail Mem 

   1533 root      20   0  221368   1048    960 S   0.0   0.0   0:00.00 agetty
   1551 chrony    20   0   86264   2932   2376 S   0.0   0.1   0:00.19 chronyd
   1589 root      20   0 1896636  55904  36228 S   0.0   1.4   0:16.45 contain+
   1844 root      20   0   16316   6892   6004 S   0.0   0.2   0:00.04 systemd+
   1866 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker+
   1993 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
   2054 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2055 root      20   0 2064320  79116  57200 S   0.0   2.0   0:21.02 kubelet
   2189 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
   2205 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
   2218 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
   2223 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
   2229 root      20   0   16672   7492   6528 S   0.0   0.2   0:00.00 systemd+
   2230 root      20   0   16848   7476   6504 S   0.0   0.2   0:00.00 systemd+
   2231 root      20   0   16672   7496   6536 S   0.0   0.2   0:00.00 systemd+
   2238 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2243 root      20   0   15724  10156   8468 S   0.0   0.3   0:00.02 sshd
   2247 ec2-user  20   0   21464  13432  10416 S   0.0   0.3   0:00.06 systemd
   2249 ec2-user  20   0  172708   5672      0 S   0.0   0.1   0:00.00 (sd-pam)
   2256 ec2-user  20   0   15724   6212   4528 S   0.0   0.2   0:00.00 sshd
   2257 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2258 ec2-user  20   0  223192   4136   3468 S   0.0   0.1   0:00.00 bash
   2262 root      20   0   18072   8468   6424 S   0.0   0.2   0:00.04 systemd+
   2280 root      20   0  234488   7936   6620 S   0.0   0.2   0:00.01 sudo
   2282 root      20   0  234488   2480   1164 S   0.0   0.1   0:00.00 sudo
   2283 root      20   0  223588   4000   3116 S   0.0   0.1   0:00.03 bash
   2425 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2435 root      20   0   32020   6012   2880 S   0.0   0.2   0:00.00 (udev-w+
   2438 root      20   0    2656    980    892 S   0.0   0.0   0:00.00 timeout
